fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
0,-5.264169184800512,0.05744223031093735,0.2153616800683121,0.19529435767529124,0.0033736557520407198,0.011329795495965389,441,0.022723570833369722,0.31519274376417233,0.15258440481764932,,0.7341772151898734,79,0.0,8.0,0.24561403508771928,57.0,0.2271186440677966,295.0,,,,
1,-4.658070727068078,0.193145535845495,0.3143189498497914,-0.08438750058649847,-0.009133856766083106,0.023011541763559032,441,0.10101236215277175,0.1473922902494331,0.19267195980159604,0.4035818408996251,0.6825396825396826,63,,,0.0,13.0,0.06027397260273973,365.0,,,,
2,-3.379899501783285,0.20950575251963852,0.3101484386840583,-0.9252200907815769,-0.02157945581685079,0.030720966535149975,441,0.34979460169835064,0.19954648526077098,0.08102749968203225,0.49805704836709386,0.34782608695652173,23,0.5588235294117647,34.0,0.0784313725490196,102.0,0.20512820512820512,78.0,0.27007299270072993,137.0,0.0,67.0
3,-5.128144812724866,0.09122539401493943,0.29016051272649074,-0.002596075965328737,0.007513951571494353,0.014175141431067689,440,0.03482957069347,0.18409090909090908,0.16236309216950426,0.9851598173515982,0.375,104,,,0.0,71.0,0.15849056603773584,265.0,,,,
4,-4.869545445993777,0.09396378906583755,0.2525092254337632,-0.42544347193931165,0.0008944754002230883,0.015137753417910604,441,0.08840155945825783,0.3401360544217687,0.1383187683487138,,0.07476635514018691,214,,,0.7777777777777778,36.0,0.5578947368421052,190.0,,,,
5,-4.257245397725384,0.1781333509999456,0.3067962876486386,-1.1120677026888908,-0.006572640268579117,0.02220090823087608,440,0.1078456220569678,0.40454545454545454,0.10352648220555927,0.30147446024223273,0.6447368421052632,152,0.34375,32.0,0.7058823529411765,34.0,0.20952380952380953,210.0,,,0.1,10.0
6,-5.431401530732146,0.11830628959024224,0.33448904386801054,0.22090492086958424,0.005380886954962176,0.012954352887528501,441,0.024833421203431145,0.6009070294784581,0.11231699698757402,0.5111915734035549,0.9338235294117647,272,,,,,0.0650887573964497,169.0,,,,
7,7.771762495124521,1.3910758993389574,0.6056611375361277,-1.8797485899028743,-0.13012089915571678,0.15857356862480426,441,0.6667382643548706,0.6870748299319728,0.024376011702826928,0.5153846153846153,0.8105263157894737,95,0.4383561643835616,73.0,0.6842105263157895,19.0,0.09523809523809523,42.0,0.9251336898395722,187.0,0.16,25.0
8,-3.486168392057914,0.09811773700204136,0.2490275873800465,0.25894985016591443,-0.014711946060571817,0.03375536803361295,440,0.24585284486393488,0.17045454545454544,0.18797200865489935,0.47896272687762576,0.0,5,0.0,107.0,,,,,0.9852941176470589,68.0,0.031007751937984496,258.0
9,-3.625161617086815,0.12632488990419313,0.2564908179809353,0.008172210012021508,-0.008984548512307308,0.04028982209130351,504,0.26923350185246997,0.15674603174603174,0.12434100615391606,0.5906846609611587,0.0,72,0.22297297297297297,148.0,,,0.20512820512820512,117.0,0.5161290322580645,31.0,0.04411764705882353,136.0
