regime,feature,mean_active,mean_inactive,diff
bull_quiet,iv_rank,0.1812,0.2533,-0.0721
bull_quiet,hv_rank,0.1914,0.2654,-0.074
bull_quiet,vol_risk_premium,0.0318,0.0196,0.0122
bull_quiet,iv_momentum_short,0.0022,-0.0032,0.0054
bull_quiet,iv_momentum_medium,-0.0068,-0.0251,0.0183
bull_quiet,hv_momentum_short,0.0002,-0.018,0.0182
bull_quiet,hv_momentum_medium,-0.0054,-0.0587,0.0533
bull_quiet,days_since_iv_year_high,216.0151,160.574,55.4411
bull_quiet,days_since_iv_year_low,228.3874,255.9434,-27.556
bull_quiet,days_since_hv_year_high,199.4087,126.7656,72.6431
bull_quiet,days_since_hv_year_low,155.047,184.863,-29.816
bull_quiet,vix,16.9108,17.8613,-0.9505
bull_quiet,spy_return,0.0008,0.0013,-0.0005
bull_quiet,risk_free_rate,0.0377,0.0404,-0.0027
bull_quiet,spy_pct_from_ma200,0.0913,0.0748,0.0165
bull_quiet,spy_adx14,0.1758,0.2177,-0.0419
bull_quiet,spy_atr_ratio,0.9414,0.9102,0.0312
bull_volatile,iv_rank,,0.1827,
bull_volatile,hv_rank,,0.1902,
bull_volatile,vol_risk_premium,,0.0318,
bull_volatile,iv_momentum_short,,0.0021,
bull_volatile,iv_momentum_medium,,-0.0078,
bull_volatile,hv_momentum_short,,-0.0002,
bull_volatile,hv_momentum_medium,,-0.0097,
bull_volatile,days_since_iv_year_high,,212.3014,
bull_volatile,days_since_iv_year_low,,231.7375,
bull_volatile,days_since_hv_year_high,,195.6825,
bull_volatile,days_since_hv_year_low,,156.4987,
bull_volatile,vix,,16.953,
bull_volatile,spy_return,,0.0008,
bull_volatile,risk_free_rate,,0.0378,
bull_volatile,spy_pct_from_ma200,,0.0903,
bull_volatile,spy_adx14,,0.1773,
bull_volatile,spy_atr_ratio,,0.9392,
bear_quiet,iv_rank,,0.1645,
bear_quiet,hv_rank,,0.2148,
bear_quiet,vol_risk_premium,,0.0239,
bear_quiet,iv_momentum_short,,0.0022,
bear_quiet,iv_momentum_medium,,-0.0076,
bear_quiet,hv_momentum_short,,0.0029,
bear_quiet,hv_momentum_medium,,0.0033,
bear_quiet,days_since_iv_year_high,,253.4325,
bear_quiet,days_since_iv_year_low,,181.2363,
bear_quiet,days_since_hv_year_high,,237.9662,
bear_quiet,days_since_hv_year_low,,135.7046,
bear_quiet,vix,,16.6069,
bear_quiet,spy_return,,0.0006,
bear_quiet,risk_free_rate,,0.0364,
bear_quiet,spy_pct_from_ma200,,0.0943,
bear_quiet,spy_adx14,,0.1444,
bear_quiet,spy_atr_ratio,,0.9318,
bear_volatile,iv_rank,0.2714,0.1851,0.0863
bear_volatile,hv_rank,0.2916,0.1885,0.1031
bear_volatile,vol_risk_premium,0.0214,0.0308,-0.0094
bear_volatile,iv_momentum_short,-0.0025,0.0016,-0.0041
bear_volatile,iv_momentum_medium,-0.0305,-0.0098,-0.0207
bear_volatile,hv_momentum_short,-0.0315,-0.0014,-0.0301
bear_volatile,hv_momentum_medium,-0.1068,-0.0149,-0.0919
bear_volatile,days_since_iv_year_high,150.6467,204.6026,-53.9559
bear_volatile,days_since_iv_year_low,295.873,236.2052,59.6678
bear_volatile,days_since_hv_year_high,96.1871,187.6798,-91.4927
